year, category a, category b, category c, value, axis, show on left-menu, description
1990,TOTAL,,,56207.7611120094, ,1, 
1991,TOTAL,,,55046.8226050549, ,1, 
1992,TOTAL,,,53839.7970684598, ,1, 
1993,TOTAL,,,56328.0642961532, ,1, 
1994,TOTAL,,,58991.5936957861, ,1, 
1995,TOTAL,,,62477.7883466673, ,1, 
1996,TOTAL,,,64123.7306481437, ,1, 
1997,TOTAL,,,62962.738250024, ,1, 
1998,TOTAL,,,64058.3337879992, ,1, 
1999,TOTAL,,,65720.6360946214, ,1, 
2000,TOTAL,,,66738.5195748224, ,1, 
2001,TOTAL,,,68345.9395954135, ,1, 
2002,TOTAL,,,65423.6078609021, ,1, 
2003,TOTAL,,,66447.8276311304, ,1, 
2004,TOTAL,,,68015.7572877343, ,1, 
2005,TOTAL,,,65791.7321622933, ,1, 
2006,TOTAL,,,64134.3271753449, ,1, 
2007,TOTAL,,,64762.7543705261, ,1, 
2008,TOTAL,,,64937.3950998537, ,1, 
2009,TOTAL,,,61792.4640859449, ,1, 
2010,TOTAL,,,61440.91318953, ,1, 
2011,TOTAL,,,61902.6798356699, ,1, 
2012,TOTAL,,,63008.1200523962, ,1, 
2013,TOTAL,,,63701.5618116565, ,1, 
2014,TOTAL,,,62971.0868511617, ,1, 
2015,TOTAL,,,61918.8728141067, ,1, 
2016,TOTAL,,,63667.2386274277, ,1, 
2017,TOTAL,,,64462.3414673043, ,1, 
1990,ENERGY,,,42188.6469978992, ,,
1991,ENERGY,,,41147.139304149, ,,
1992,ENERGY,,,40114.7525254833, ,,
1993,ENERGY,,,42794.6815573316, ,,
1994,ENERGY,,,45246.7354466846, ,,
1995,ENERGY,,,48890.9991192307, ,,
1996,ENERGY,,,50349.364061863, ,,
1997,ENERGY,,,48845.1827105003, ,,
1998,ENERGY,,,49810.7969715348, ,,
1999,ENERGY,,,51330.1025265167, ,,
2000,ENERGY,,,52250.7510707282, ,,
2001,ENERGY,,,54569.2627275796, ,,
2002,ENERGY,,,51528.2464224975, ,,
2003,ENERGY,,,52314.6176489488, ,,
2004,ENERGY,,,53441.5032621649, ,,
2005,ENERGY,,,51838.4264738301, ,,
2006,ENERGY,,,50765.2034035366, ,,
2007,ENERGY,,,51060.4523938539, ,,
2008,ENERGY,,,51742.8415830579, ,,
2009,ENERGY,,,48853.2476923838, ,,
2010,ENERGY,,,48762.8075947335, ,,
2011,ENERGY,,,49398.4196597628, ,,
2012,ENERGY,,,50505.2977915832, ,,
2013,ENERGY,,,51202.5358884287, ,,
2014,ENERGY,,,50877.8576968571, ,,
2015,ENERGY,,,49910.3629182229, ,,
2016,ENERGY,,,51126.8238555877, ,,
2017,ENERGY,,,52006.0526061694, ,,
1990,ENERGY,Stationary Combustion Sources,,19498.3680207965, ,,
1991,ENERGY,Stationary Combustion Sources,,18276.2616696253, ,,
1992,ENERGY,Stationary Combustion Sources,,17057.6145143775, ,,
1993,ENERGY,Stationary Combustion Sources,,19286.0539131973, ,,
1994,ENERGY,Stationary Combustion Sources,,19374.7540451937, ,,
1995,ENERGY,Stationary Combustion Sources,,21659.9408379008, ,,
1996,ENERGY,Stationary Combustion Sources,,21973.5933049172, ,,
1997,ENERGY,Stationary Combustion Sources,,19675.6603320595, ,,
1998,ENERGY,Stationary Combustion Sources,,20185.7588778007, ,,
1999,ENERGY,Stationary Combustion Sources,,22053.0839736598, ,,
2000,ENERGY,Stationary Combustion Sources,,22798.459700526, ,,
2001,ENERGY,Stationary Combustion Sources,,24909.5086278015, ,,
2002,ENERGY,Stationary Combustion Sources,,22635.2271557316, ,,
2003,ENERGY,Stationary Combustion Sources,,22162.875236884, ,,
2004,ENERGY,Stationary Combustion Sources,,22638.1552979466, ,,
2005,ENERGY,Stationary Combustion Sources,,21875.8333475707, ,,
2006,ENERGY,Stationary Combustion Sources,,21569.5148894108, ,,
2007,ENERGY,Stationary Combustion Sources,,21326.5227427445, ,,
2008,ENERGY,Stationary Combustion Sources,,21182.9884985883, ,,
2009,ENERGY,Stationary Combustion Sources,,20813.1404111804, ,,
2010,ENERGY,Stationary Combustion Sources,,20283.7313097582, ,,
2011,ENERGY,Stationary Combustion Sources,,21725.952415009, ,,
2012,ENERGY,Stationary Combustion Sources,,21832.9280051078, ,,
2013,ENERGY,Stationary Combustion Sources,,21447.5178526957, ,,
2014,ENERGY,Stationary Combustion Sources,,21548.9164352363, ,,
2015,ENERGY,Stationary Combustion Sources,,19907.0462407693, ,,
2016,ENERGY,Stationary Combustion Sources,,21078.2072754336, ,,
2017,ENERGY,Stationary Combustion Sources,,21384.5437033216, ,,
1990,ENERGY,Public Electricity and Heat Production,,807.138593515, ,,
1991,ENERGY,Public Electricity and Heat Production,,474.225079172, ,,
1992,ENERGY,Public Electricity and Heat Production,,940.902728773, ,,
1993,ENERGY,Public Electricity and Heat Production,,1962.8274933864, ,,
1994,ENERGY,Public Electricity and Heat Production,,1806.40490566072, ,,
1995,ENERGY,Public Electricity and Heat Production,,2247.096353927, ,,
1996,ENERGY,Public Electricity and Heat Production,,382.713126783624, ,,
1997,ENERGY,Public Electricity and Heat Production,,750.661713531174, ,,
1998,ENERGY,Public Electricity and Heat Production,,1491.69124114975, ,,
1999,ENERGY,Public Electricity and Heat Production,,850.501435725974, ,,
2000,ENERGY,Public Electricity and Heat Production,,1937.65712073622, ,,
2001,ENERGY,Public Electricity and Heat Production,,2484.52392754985, ,,
2002,ENERGY,Public Electricity and Heat Production,,951.686523100849, ,,
2003,ENERGY,Public Electricity and Heat Production,,1022.51852139604, ,,
2004,ENERGY,Public Electricity and Heat Production,,1255.45466504593, ,,
2005,ENERGY,Public Electricity and Heat Production,,1338.09956080403, ,,
2006,ENERGY,Public Electricity and Heat Production,,1522.48611150517, ,,
2007,ENERGY,Public Electricity and Heat Production,,1144.83267906065, ,,
2008,ENERGY,Public Electricity and Heat Production,,1485.9965058433, ,,
2009,ENERGY,Public Electricity and Heat Production,,1335.74153212186, ,,
2010,ENERGY,Public Electricity and Heat Production,,1234.69503313716, ,,
2011,ENERGY,Public Electricity and Heat Production,,781.463256369693, ,,
2012,ENERGY,Public Electricity and Heat Production,,510.414131474363, ,,
2013,ENERGY,Public Electricity and Heat Production,,596.452336675274, ,,
2014,ENERGY,Public Electricity and Heat Production,,578.463102604733, ,,
2015,ENERGY,Public Electricity and Heat Production,,503.607398674015, ,,
2016,ENERGY,Public Electricity and Heat Production,,677.595653813765, ,,
2017,ENERGY,Public Electricity and Heat Production,,574.239169432135, ,,
1990,ENERGY,Petroleum Refining Industries,,1235.85655609332, ,,
1991,ENERGY,Petroleum Refining Industries,,1232.55639887841, ,,
1992,ENERGY,Petroleum Refining Industries,,1041.87626136222, ,,
1993,ENERGY,Petroleum Refining Industries,,717.51421883945, ,,
1994,ENERGY,Petroleum Refining Industries,,710.634354467447, ,,
1995,ENERGY,Petroleum Refining Industries,,574.45314940328, ,,
1996,ENERGY,Petroleum Refining Industries,,735.925144002096, ,,
1997,ENERGY,Petroleum Refining Industries,,441.25092531729, ,,
1998,ENERGY,Petroleum Refining Industries,,413.848709054084, ,,
1999,ENERGY,Petroleum Refining Industries,,469.755276051551, ,,
2000,ENERGY,Petroleum Refining Industries,,417.040788705332, ,,
2001,ENERGY,Petroleum Refining Industries,,440.618416015835, ,,
2002,ENERGY,Petroleum Refining Industries,,515.414173337842, ,,
2003,ENERGY,Petroleum Refining Industries,,491.463004720072, ,,
2004,ENERGY,Petroleum Refining Industries,,858.648775415873, ,,
2005,ENERGY,Petroleum Refining Industries,,497.761560116846, ,,
2006,ENERGY,Petroleum Refining Industries,,632.287589227355, ,,
2007,ENERGY,Petroleum Refining Industries,,637.925017636961, ,,
2008,ENERGY,Petroleum Refining Industries,,485.910009411322, ,,
2009,ENERGY,Petroleum Refining Industries,,582.120680563876, ,,
2010,ENERGY,Petroleum Refining Industries,,657.909224291837, ,,
2011,ENERGY,Petroleum Refining Industries,,571.086749933555, ,,
2012,ENERGY,Petroleum Refining Industries,,608.351810750289, ,,
2013,ENERGY,Petroleum Refining Industries,,523.041048361893, ,,
2014,ENERGY,Petroleum Refining Industries,,572.028949823415, ,,
2015,ENERGY,Petroleum Refining Industries,,587.064004837219, ,,
2016,ENERGY,Petroleum Refining Industries,,688.207567188172, ,,
2017,ENERGY,Petroleum Refining Industries,,547.360754458299, ,,
1990,ENERGY,Oil and Gas Extraction,,2144.09330763456, ,,
1991,ENERGY,Oil and Gas Extraction,,1414.16685843581, ,,
1992,ENERGY,Oil and Gas Extraction,,699.939814107827, ,,
1993,ENERGY,Oil and Gas Extraction,,775.655228183113, ,,
1994,ENERGY,Oil and Gas Extraction,,1608.896135465, ,,
1995,ENERGY,Oil and Gas Extraction,,2719.3988187187, ,,
1996,ENERGY,Oil and Gas Extraction,,3427.96530956226, ,,
1997,ENERGY,Oil and Gas Extraction,,2109.45945587573, ,,
1998,ENERGY,Oil and Gas Extraction,,3010.97211960923, ,,
1999,ENERGY,Oil and Gas Extraction,,4330.37109570595, ,,
2000,ENERGY,Oil and Gas Extraction,,3201.37617469227, ,,
2001,ENERGY,Oil and Gas Extraction,,4542.18749710583, ,,
2002,ENERGY,Oil and Gas Extraction,,4852.55896684128, ,,
2003,ENERGY,Oil and Gas Extraction,,5196.45668343805, ,,
2004,ENERGY,Oil and Gas Extraction,,5587.77542637754, ,,
2005,ENERGY,Oil and Gas Extraction,,5391.15412255724, ,,
2006,ENERGY,Oil and Gas Extraction,,6034.54362093085, ,,
2007,ENERGY,Oil and Gas Extraction,,6403.30588949901, ,,
2008,ENERGY,Oil and Gas Extraction,,6634.3524608427, ,,
2009,ENERGY,Oil and Gas Extraction,,6838.12207950859, ,,
2010,ENERGY,Oil and Gas Extraction,,6970.2864002193, ,,
2011,ENERGY,Oil and Gas Extraction,,7770.74052969057, ,,
2012,ENERGY,Oil and Gas Extraction,,8204.51654622134, ,,
2013,ENERGY,Oil and Gas Extraction,,8162.26814388281, ,,
2014,ENERGY,Oil and Gas Extraction,,8234.90717986398, ,,
2015,ENERGY,Oil and Gas Extraction,,7069.85132823853, ,,
2016,ENERGY,Oil and Gas Extraction,,7433.11810218423, ,,
2017,ENERGY,Oil and Gas Extraction,,7242.14691278019, ,,
1990,ENERGY,Mining,,618.679324150357, ,,
1991,ENERGY,Mining,,631.015576640473, ,,
1992,ENERGY,Mining,,436.541096255833, ,,
1993,ENERGY,Mining,,520.135773143027, ,,
1994,ENERGY,Mining,,449.727486628708, ,,
1995,ENERGY,Mining,,549.119307562303, ,,
1996,ENERGY,Mining,,670.988756447743, ,,
1997,ENERGY,Mining,,645.491895562268, ,,
1998,ENERGY,Mining,,542.372037752766, ,,
1999,ENERGY,Mining,,590.482595101848, ,,
2000,ENERGY,Mining,,616.198227268223, ,,
2001,ENERGY,Mining,,864.670020764263, ,,
2002,ENERGY,Mining,,650.763106177121, ,,
2003,ENERGY,Mining,,728.255566982326, ,,
2004,ENERGY,Mining,,714.913072948723, ,,
2005,ENERGY,Mining,,386.472271166433, ,,
2006,ENERGY,Mining,,595.916176136012, ,,
2007,ENERGY,Mining,,600.378112095702, ,,
2008,ENERGY,Mining,,625.742614757296, ,,
2009,ENERGY,Mining,,526.721948991406, ,,
2010,ENERGY,Mining,,599.671687455016, ,,
2011,ENERGY,Mining,,559.807507809429, ,,
2012,ENERGY,Mining,,612.269395178663, ,,
2013,ENERGY,Mining,,588.952575917191, ,,
2014,ENERGY,Mining,,561.002513636024, ,,
2015,ENERGY,Mining,,457.826052661471, ,,
2016,ENERGY,Mining,,500.157371015768, ,,
2017,ENERGY,Mining,,468.955450353663, ,,
1990,ENERGY,Manufacturing Industries,,6518.3954840618, ,,
1991,ENERGY,Manufacturing Industries,,6187.60577022683, ,,
1992,ENERGY,Manufacturing Industries,,5561.44466228489, ,,
1993,ENERGY,Manufacturing Industries,,6013.69834970228, ,,
1994,ENERGY,Manufacturing Industries,,6205.6327261622, ,,
1995,ENERGY,Manufacturing Industries,,7022.71782840266, ,,
1996,ENERGY,Manufacturing Industries,,7608.9227949248, ,,
1997,ENERGY,Manufacturing Industries,,7126.16755211375, ,,
1998,ENERGY,Manufacturing Industries,,6636.1731076043, ,,
1999,ENERGY,Manufacturing Industries,,7327.56590556209, ,,
2000,ENERGY,Manufacturing Industries,,7837.40716766888, ,,
2001,ENERGY,Manufacturing Industries,,7822.37237580743, ,,
2002,ENERGY,Manufacturing Industries,,6759.4118897406, ,,
2003,ENERGY,Manufacturing Industries,,6846.61234441466, ,,
2004,ENERGY,Manufacturing Industries,,6517.31614221719, ,,
2005,ENERGY,Manufacturing Industries,,6213.31041843749, ,,
2006,ENERGY,Manufacturing Industries,,4720.87433969862, ,,
2007,ENERGY,Manufacturing Industries,,4548.1373212083, ,,
2008,ENERGY,Manufacturing Industries,,3881.49764092193, ,,
2009,ENERGY,Manufacturing Industries,,3892.87312569393, ,,
2010,ENERGY,Manufacturing Industries,,3897.55522223071, ,,
2011,ENERGY,Manufacturing Industries,,4031.21149021965, ,,
2012,ENERGY,Manufacturing Industries,,4118.40846047947, ,,
2013,ENERGY,Manufacturing Industries,,4115.63301994415, ,,
2014,ENERGY,Manufacturing Industries,,4413.44100762714, ,,
2015,ENERGY,Manufacturing Industries,,4434.85600297792, ,,
2016,ENERGY,Manufacturing Industries,,4689.0260650456, ,,
2017,ENERGY,Manufacturing Industries,,4981.96991289764, ,,
1990,ENERGY,Construction,,307.480429514, ,,
1991,ENERGY,Construction,,270.70932134, ,,
1992,ENERGY,Construction,,321.43486451155, ,,
1993,ENERGY,Construction,,344.3292671829, ,,
1994,ENERGY,Construction,,286.372328184, ,,
1995,ENERGY,Construction,,201.027168928, ,,
1996,ENERGY,Construction,,209.2581992, ,,
1997,ENERGY,Construction,,127.1086788, ,,
1998,ENERGY,Construction,,101.5763916, ,,
1999,ENERGY,Construction,,86.7292177, ,,
2000,ENERGY,Construction,,76.6511269, ,,
2001,ENERGY,Construction,,72.4039132, ,,
2002,ENERGY,Construction,,75.9951562, ,,
2003,ENERGY,Construction,,84.1111351, ,,
2004,ENERGY,Construction,,104.4270894, ,,
2005,ENERGY,Construction,,113.5421918, ,,
2006,ENERGY,Construction,,119.4069478, ,,
2007,ENERGY,Construction,,126.5707056, ,,
2008,ENERGY,Construction,,106.4378099, ,,
2009,ENERGY,Construction,,64.449251, ,,
2010,ENERGY,Construction,,83.5935245, ,,
2011,ENERGY,Construction,,102.9928946, ,,
2012,ENERGY,Construction,,99.8482247, ,,
2013,ENERGY,Construction,,68.0309291, ,,
2014,ENERGY,Construction,,66.1957752, ,,
2015,ENERGY,Construction,,70.9212539, ,,
2016,ENERGY,Construction,,95.3266744, ,,
2017,ENERGY,Construction,,96.6500397, ,,
1990,ENERGY,Commercial and Institutional,,2955.88683359476, ,,
1991,ENERGY,Commercial and Institutional,,3218.46073695851, ,,
1992,ENERGY,Commercial and Institutional,,3327.48671845433, ,,
1993,ENERGY,Commercial and Institutional,,3720.1476987292, ,,
1994,ENERGY,Commercial and Institutional,,3447.26851663, ,,
1995,ENERGY,Commercial and Institutional,,3524.93189856068, ,,
1996,ENERGY,Commercial and Institutional,,3563.16653236482, ,,
1997,ENERGY,Commercial and Institutional,,3445.70421910552, ,,
1998,ENERGY,Commercial and Institutional,,3051.17250372545, ,,
1999,ENERGY,Commercial and Institutional,,3147.33349465374, ,,
2000,ENERGY,Commercial and Institutional,,3565.67759490753, ,,
2001,ENERGY,Commercial and Institutional,,3560.92199569019, ,,
2002,ENERGY,Commercial and Institutional,,4171.87169520188, ,,
2003,ENERGY,Commercial and Institutional,,3415.53313772422, ,,
2004,ENERGY,Commercial and Institutional,,3302.62214813408, ,,
2005,ENERGY,Commercial and Institutional,,3182.95982874704, ,,
2006,ENERGY,Commercial and Institutional,,3113.45936549739, ,,
2007,ENERGY,Commercial and Institutional,,3071.45305306028, ,,
2008,ENERGY,Commercial and Institutional,,3265.67395671559, ,,
2009,ENERGY,Commercial and Institutional,,2909.12360814711, ,,
2010,ENERGY,Commercial and Institutional,,2671.13316855411, ,,
2011,ENERGY,Commercial and Institutional,,2986.77989430635, ,,
2012,ENERGY,Commercial and Institutional,,2970.89832499817, ,,
2013,ENERGY,Commercial and Institutional,,2736.42938372745, ,,
2014,ENERGY,Commercial and Institutional,,2654.9533376126, ,,
2015,ENERGY,Commercial and Institutional,,2415.7652396302, ,,
2016,ENERGY,Commercial and Institutional,,2445.89564912562, ,,
2017,ENERGY,Commercial and Institutional,,2497.36925755776, ,,
1990,ENERGY,Residential,,4587.45124832943, ,,
1991,ENERGY,Residential,,4472.23398809756, ,,
1992,ENERGY,Residential,,4355.14500019885, ,,
1993,ENERGY,Residential,,4856.89277461893, ,,
1994,ENERGY,Residential,,4657.02848883958, ,,
1995,ENERGY,Residential,,4667.67075962214, ,,
1996,ENERGY,Residential,,5185.9693590319, ,,
1997,ENERGY,Residential,,4760.19370375379, ,,
1998,ENERGY,Residential,,4685.79983490507, ,,
1999,ENERGY,Residential,,4987.57414815861, ,,
2000,ENERGY,Residential,,4827.78219654756, ,,
2001,ENERGY,Residential,,4757.91962226814, ,,
2002,ENERGY,Residential,,4526.05644773199, ,,
2003,ENERGY,Residential,,4292.83955800861, ,,
2004,ENERGY,Residential,,4223.82186230724, ,,
2005,ENERGY,Residential,,4677.30730774158, ,,
2006,ENERGY,Residential,,4756.01597071537, ,,
2007,ENERGY,Residential,,4719.81909158362, ,,
2008,ENERGY,Residential,,4633.51968609616, ,,
2009,ENERGY,Residential,,4614.48002895366, ,,
2010,ENERGY,Residential,,3858.55329457003, ,,
2011,ENERGY,Residential,,4640.92635747979, ,,
2012,ENERGY,Residential,,4320.4928393055, ,,
2013,ENERGY,Residential,,4271.24359208697, ,,
2014,ENERGY,Residential,,4085.74238286845, ,,
2015,ENERGY,Residential,,3954.42906744993, ,,
2016,ENERGY,Residential,,3985.91418366045, ,,
2017,ENERGY,Residential,,4401.25599504194, ,,
1990,ENERGY,Agriculture and Forestry,,323.38624390333, ,,
1991,ENERGY,Agriculture and Forestry,,375.28793987567, ,,
1992,ENERGY,Agriculture and Forestry,,372.84336842902, ,,
1993,ENERGY,Agriculture and Forestry,,374.853109412, ,,
1994,ENERGY,Agriculture and Forestry,,202.789103156, ,,
1995,ENERGY,Agriculture and Forestry,,153.525552776, ,,
1996,ENERGY,Agriculture and Forestry,,188.6840826, ,,
1997,ENERGY,Agriculture and Forestry,,269.622188, ,,
1998,ENERGY,Agriculture and Forestry,,252.1529324, ,,
1999,ENERGY,Agriculture and Forestry,,262.770805, ,,
2000,ENERGY,Agriculture and Forestry,,318.6693031, ,,
2001,ENERGY,Agriculture and Forestry,,363.8908594, ,,
2002,ENERGY,Agriculture and Forestry,,131.4691974, ,,
2003,ENERGY,Agriculture and Forestry,,85.0852851, ,,
2004,ENERGY,Agriculture and Forestry,,73.1761161, ,,
2005,ENERGY,Agriculture and Forestry,,75.2260862, ,,
2006,ENERGY,Agriculture and Forestry,,74.5247679, ,,
2007,ENERGY,Agriculture and Forestry,,74.100873, ,,
2008,ENERGY,Agriculture and Forestry,,63.8578141, ,,
2009,ENERGY,Agriculture and Forestry,,49.5081562, ,,
2010,ENERGY,Agriculture and Forestry,,310.3337548, ,,
2011,ENERGY,Agriculture and Forestry,,280.9437346, ,,
2012,ENERGY,Agriculture and Forestry,,387.728272, ,,
2013,ENERGY,Agriculture and Forestry,,385.466823, ,,
2014,ENERGY,Agriculture and Forestry,,382.182186, ,,
2015,ENERGY,Agriculture and Forestry,,412.7258924, ,,
2016,ENERGY,Agriculture and Forestry,,562.966009, ,,
2017,ENERGY,Agriculture and Forestry,,574.5962111, ,,
1990,ENERGY,Transport,,18575.7717582335, ,,
1991,ENERGY,Transport,,18862.0098097391, ,,
1992,ENERGY,Transport,,19092.2844797524, ,,
1993,ENERGY,Transport,,19612.4282391567, ,,
1994,ENERGY,Transport,,20743.6976751367, ,,
1995,ENERGY,Transport,,21830.5015451482, ,,
1996,ENERGY,Transport,,22468.9582822872, ,,
1997,ENERGY,Transport,,23082.6621174512, ,,
1998,ENERGY,Transport,,23619.5979594362, ,,
1999,ENERGY,Transport,,23519.5083862066, ,,
2000,ENERGY,Transport,,23721.4408405284, ,,
2001,ENERGY,Transport,,23729.8817952832, ,,
2002,ENERGY,Transport,,23482.6375792572, ,,
2003,ENERGY,Transport,,24889.2723807087, ,,
2004,ENERGY,Transport,,25651.0052859853, ,,
2005,ENERGY,Transport,,24612.4520535379, ,,
2006,ENERGY,Transport,,24121.5809603213, ,,
2007,ENERGY,Transport,,24674.4671416958, ,,
2008,ENERGY,Transport,,25084.8061189509, ,,
2009,ENERGY,Transport,,23106.2222524398, ,,
2010,ENERGY,Transport,,23604.3095530107, ,,
2011,ENERGY,Transport,,22257.2899867123, ,,
2012,ENERGY,Transport,,23543.4674699529, ,,
2013,ENERGY,Transport,,24304.276024304, ,,
2014,ENERGY,Transport,,24145.8988545524, ,,
2015,ENERGY,Transport,,25079.3946062365, ,,
2016,ENERGY,Transport,,25569.6225385395, ,,
2017,ENERGY,Transport,,26178.4809457437, ,,
1990,ENERGY,Domestic Aviation,,1339.36769463382, ,,
1991,ENERGY,Domestic Aviation,,1201.91534895882, ,,
1992,ENERGY,Domestic Aviation,,1188.1676681146, ,,
1993,ENERGY,Domestic Aviation,,1133.96656393773, ,,
1994,ENERGY,Domestic Aviation,,1190.86493631098, ,,
1995,ENERGY,Domestic Aviation,,1298.03774121391, ,,
1996,ENERGY,Domestic Aviation,,1464.19048100921, ,,
1997,ENERGY,Domestic Aviation,,1490.2341287356, ,,
1998,ENERGY,Domestic Aviation,,1590.78493175146, ,,
1999,ENERGY,Domestic Aviation,,1638.91494714954, ,,
2000,ENERGY,Domestic Aviation,,1593.2293594141, ,,
2001,ENERGY,Domestic Aviation,,1433.37981852169, ,,
2002,ENERGY,Domestic Aviation,,1398.47611417748, ,,
2003,ENERGY,Domestic Aviation,,1398.0549506083, ,,
2004,ENERGY,Domestic Aviation,,1528.41443862144, ,,
2005,ENERGY,Domestic Aviation,,1579.67123269634, ,,
2006,ENERGY,Domestic Aviation,,1561.9916522761, ,,
2007,ENERGY,Domestic Aviation,,1515.11959802453, ,,
2008,ENERGY,Domestic Aviation,,1424.2035563799, ,,
2009,ENERGY,Domestic Aviation,,1245.06595081973, ,,
2010,ENERGY,Domestic Aviation,,1191.95143053068, ,,
2011,ENERGY,Domestic Aviation,,1142.03819965071, ,,
2012,ENERGY,Domestic Aviation,,1299.84665974518, ,,
2013,ENERGY,Domestic Aviation,,1335.86686890073, ,,
2014,ENERGY,Domestic Aviation,,1302.49100409182, ,,
2015,ENERGY,Domestic Aviation,,1309.12307580297, ,,
2016,ENERGY,Domestic Aviation,,1333.90222309222, ,,
2017,ENERGY,Domestic Aviation,,1372.50351846408, ,,
1990,ENERGY,Road Transportation,,9599.97106077907, ,,
1991,ENERGY,Road Transportation,,9640.62220260118, ,,
1992,ENERGY,Road Transportation,,9673.59027524257, ,,
1993,ENERGY,Road Transportation,,9977.56377242542, ,,
1994,ENERGY,Road Transportation,,10649.3304861526, ,,
1995,ENERGY,Road Transportation,,11016.7946593201, ,,
1996,ENERGY,Road Transportation,,11517.9170403196, ,,
1997,ENERGY,Road Transportation,,12496.3569401989, ,,
1998,ENERGY,Road Transportation,,13398.5600370124, ,,
1999,ENERGY,Road Transportation,,13562.0818774188, ,,
2000,ENERGY,Road Transportation,,13763.7707192519, ,,
2001,ENERGY,Road Transportation,,14117.6602657492, ,,
2002,ENERGY,Road Transportation,,14329.4099746004, ,,
2003,ENERGY,Road Transportation,,14938.3923675689, ,,
2004,ENERGY,Road Transportation,,15823.6423083454, ,,
2005,ENERGY,Road Transportation,,15491.2067761882, ,,
2006,ENERGY,Road Transportation,,15470.8303768369, ,,
2007,ENERGY,Road Transportation,,15745.3851192656, ,,
2008,ENERGY,Road Transportation,,16025.5343589039, ,,
2009,ENERGY,Road Transportation,,14898.3080031268, ,,
2010,ENERGY,Road Transportation,,15074.2184751311, ,,
2011,ENERGY,Road Transportation,,14595.0224378646, ,,
2012,ENERGY,Road Transportation,,15337.5509318723, ,,
2013,ENERGY,Road Transportation,,16320.2175243724, ,,
2014,ENERGY,Road Transportation,,16319.0620380776, ,,
2015,ENERGY,Road Transportation,,16788.1715654203, ,,
2016,ENERGY,Road Transportation,,17956.91841404, ,,
2017,ENERGY,Road Transportation,,17493.5710643141, ,,
1990,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3897.84868779, ,,
1991,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3923.9984611, ,,
1992,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,3982.90297137, ,,
1993,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4121.10047965, ,,
1994,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4261.82086871, ,,
1995,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4281.47337165, ,,
1996,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4299.54619559, ,,
1997,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4460.85965924, ,,
1998,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4594.26851078, ,,
1999,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4512.80095335, ,,
2000,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4484.88999117, ,,
2001,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4479.53353075, ,,
2002,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4480.63249457, ,,
2003,ENERGY,Road Transportation,Light-Duty Gasoline Vehicles,4522.77572983, ,,
